Quotazioni Fantacalcio Stagione 2026 27;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
5841;P;Por;Svilar;Roma;18;18;0;18;18;0;65;65
5116;P;Por;Martinez Jo.;Inter;17;17;0;17;17;0;63;63
4431;P;Por;Carnesecchi;Atalanta;16;16;0;16;16;0;52;52
6966;P;Por;Butez;Como;16;16;0;16;16;0;56;56
4964;P;Por;Vicario;Juventus;16;16;0;16;16;0;55;55
4312;P;Por;Maignan;Milan;15;15;0;15;15;0;50;50
2521;P;Por;De Gea;Fiorentina;13;13;0;13;13;0;45;45
572;P;Por;Meret;Napoli;11;11;0;11;11;0;45;45
133;P;Por;Skorupski;Bologna;10;10;0;10;10;0;37;37
4360;P;Por;Caprile;Cagliari;9;9;0;9;9;0;27;27
5876;P;Por;Di Gregorio;Juventus;9;9;0;9;9;0;10;10
6482;P;Por;Mandas;Lazio;9;9;0;9;9;0;30;30
6462;P;Por;Okoye;Udinese;9;9;0;9;9;0;29;29
7332;P;Por;Bijlow;Genoa;8;8;0;8;8;0;18;18
2134;P;Por;Falcone;Lecce;8;8;0;8;8;0;25;25
7411;P;Por;Daffara;Parma;7;7;0;7;7;0;5;5
4236;P;Por;Muric;Sassuolo;7;7;0;7;7;0;15;15
218;P;Por;Perin;Juventus;6;6;0;6;6;0;5;5
6248;P;Por;Stankovic F.;Venezia;6;6;0;6;6;0;14;14
4485;P;Por;Thiam;Monza;5;5;0;5;5;0;12;12
2170;P;Por;Milinkovic-Savic V.;Napoli;5;5;0;5;5;0;10;10
6415;P;Por;Palmisani;Frosinone;4;4;0;4;4;0;8;8
7463;P;Por;Desplanches;Frosinone;2;2;0;2;2;0;8;8
2814;P;Por;Provedel;Inter;2;2;0;2;2;0;5;5
4;P;Por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
7533;P;Por;Happonen;Bologna;1;1;0;1;1;0;1;1
7172;P;Por;Pessina Mas.;Bologna;1;1;0;1;1;0;1;1
6650;P;Por;Sherri;Cagliari;1;1;0;1;1;0;1;1
7301;P;Por;Tornqvist;Como;1;1;0;1;1;0;1;1
2809;P;Por;Vigorito;Como;1;1;0;1;1;0;1;1
6403;P;Por;Christensen O.;Fiorentina;1;1;0;1;1;0;1;1
158;P;Por;Lezzerini;Fiorentina;1;1;0;1;1;0;1;1
7466;P;Por;Lolic;Frosinone;1;1;0;1;1;0;1;1
219;P;Por;Sommariva;Genoa;1;1;0;1;1;0;1;1
6569;P;Por;Stolz;Genoa;1;1;0;1;1;0;1;1
1926;P;Por;Di Gennaro;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
7337;P;Por;Motta;Lazio;1;1;0;1;1;0;1;1
7534;P;Por;Renzetti;Lazio;1;1;0;1;1;0;1;1
2815;P;Por;Terracciano;Milan;1;1;0;1;1;0;1;1
6813;P;Por;Torriani;Milan;1;1;0;1;1;0;1;1
6682;P;Por;Pizzignacco;Monza;1;1;0;1;1;0;1;1
7475;P;Por;Strajnar;Monza;1;1;0;1;1;0;1;1
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
6662;P;Por;Corvi;Parma;1;1;0;1;1;0;1;1
7048;P;Por;De Marzi;Roma;1;1;0;1;1;0;1;1
610;P;Por;Gollini;Roma;1;1;0;1;1;0;1;1
4518;P;Por;Russo A.;Sassuolo;1;1;0;1;1;0;1;1
4867;P;Por;Turati;Sassuolo;1;1;0;1;1;0;3;3
7457;P;Por;Mascardi;Torino;1;1;0;1;1;0;1;1
5320;P;Por;Paleari;Torino;1;1;0;1;1;0;1;1
7363;P;Por;Siviero;Torino;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
5707;P;Por;Piana;Udinese;1;1;0;1;1;0;1;1
6671;P;Por;Grandi;Venezia;1;1;0;1;1;0;1;1
7531;P;Por;Pozzi;Venezia;1;1;0;1;1;0;1;1
7545;P;Por;Vismara;Atalanta;1;1;0;1;1;0;1;1
2127;P;Por;Satalino;Sassuolo;1;1;0;1;1;0;1;1
7557;P;Por;Penev;Lecce;1;1;0;1;1;0;1;1
7560;P;Por;Pisseri;Frosinone;1;1;0;1;1;0;1;1
3;P;Por;Radunovic;Cagliari;1;1;0;1;1;0;1;1
4957;P;Por;Montipò;Venezia;1;1;0;1;1;0;1;1
4468;P;Por;Bleve;Lecce;1;1;0;1;1;0;1;1
254;D;"E;W";Dimarco;Inter;32;32;0;30;30;0;265;265
4998;D;E;Molina N.;Roma;18;18;0;18;18;0;87;87
7181;D;E;Wesley;Roma;17;17;0;16;16;0;83;80
4159;D;Dc;Akanji;Inter;16;16;0;16;16;0;55;55
2788;D;Dc;Bremer;Juventus;15;15;0;15;15;0;50;50
2296;D;Dc;Mancini;Roma;15;15;0;15;15;0;49;49
2120;D;Dc;Bastoni;Inter;14;14;0;14;14;0;44;44
5022;D;Dc;Pavlovic;Milan;14;14;0;14;14;0;48;48
4409;D;Dc;Rrahmani;Napoli;14;14;0;14;14;0;47;47
4976;D;"Dd;Dc";Kalulu;Juventus;13;13;0;14;14;0;46;48
4317;D;Dc;N'Dicka;Roma;13;13;0;13;13;0;44;44
6956;D;Dc;Solet;Udinese;13;13;0;13;13;0;46;46
2514;D;Dc;Stones;Inter;12;12;0;12;12;0;38;38
5833;D;Dc;Gila;Milan;12;12;0;12;12;0;31;31
2816;D;"Dd;E";Di Lorenzo;Napoli;12;12;0;12;12;0;40;40
5982;D;E;Spence;Inter;12;12;0;11;11;0;41;39
5750;D;Dc;Ostigard;Genoa;11;11;0;11;11;0;40;40
6217;D;Dc;Bisseck;Inter;11;11;0;11;11;0;33;33
5526;D;Dc;Scalvini;Atalanta;10;10;0;10;10;0;28;28
6869;D;Dc;Ramon;Como;10;10;0;10;10;0;32;32
5885;D;"Dd;E";Dodò;Fiorentina;10;10;0;10;10;0;30;30
4807;D;Dc;Hermoso;Roma;10;10;0;10;10;0;26;26
5514;D;"Ds;Dc";Vasquez;Genoa;9;9;0;10;10;0;33;35
5520;D;"Dd;Ds;E";Cambiaso;Juventus;9;9;0;10;10;0;27;30
