Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"VINCENZO","Skorupski","BOL","P","Por",1,10,10,133
"DOM-RAF","Milinkovic-Savic V.","NAP","P","Por",13,5,5,2170
"GIOVANNI","Provedel","INT","P","Por",13,2,2,2814
"VINCENZO","Wesley","ROM","D","E",40,17,16,7181
"VINCENZO","Bastoni","INT","D","Dc",27,14,14,2120
"VINCENZO","Bremer","JUV","D","Dc",28,15,15,2788
"VINCENZO","Bisseck","INT","D","Dc",12,11,11,6217
"VINCENZO","Kelly L.","JUV","D","Dc,Ds",3,5,6,6766
"GIOVANNI","Valle","COM","D","Ds,E",1,6,6,6867
"DOM-RAF","Obrador","SAS","D","Ds,E",1,6,6,7329
"DOM-RAF","Obert","CAG","D","B,Ds,E",1,7,7,5701
"VINCENZO","Mastantuono","FIO","C","W,T",29,12,12,7078
"VINCENZO","Vlasic","TOR","C","T",33,14,13,5687
"VINCENZO","Zaccagni","LAZ","C","W,A",30,16,15,632
"VINCENZO","Alajbegovic","JUV","C","W,T",35,12,12,7436
"VINCENZO","Politano","NAP","C","W",10,10,9,536
"VINCENZO","Mora","ROM","C","T",34,19,18,7556
"VINCENZO","Locatelli","JUV","C","M,C",3,8,9,827
"VINCENZO","Odgaard","BOL","C","T",1,8,7,2765
"VINCENZO","Hojlund","NAP","A","Pc",112,28,28,6052
"VINCENZO","Leao","MIL","A","A",8,18,19,4510
"VINCENZO","Berardi","SAS","A","A",29,18,19,531
"VINCENZO","Dovbyk","BOL","A","Pc",26,16,16,6675
"VINCENZO","Piccoli","BOL","A","Pc",1,8,7,4359
"VINCENZO","Soulè","ROM","A","A",1,12,13,5734
"LUIGI","Carnesecchi","ATA","P","Por",28,16,16,4431
"LUIGI","Caprile","CAG","P","Por",2,9,9,4360
"LUIGI","Mandas","LAZ","P","Por",1,9,9,6482
"LUIGI","Spence","INT","D","E",29,12,11,5982
"LUIGI","Chalobah T.","COM","D","Dc,Dd",20,9,10,5641
"LUIGI","Molina N.","ROM","D","E",34,18,18,4998
"LUIGI","Spinazzola","NAP","D","Ds,E",10,8,8,1852
"LUIGI","Vojvoda","UDI","D","Dd,E",10,8,8,4994
"LUIGI","Valdepenas","FIO","D","Dc,Ds",5,6,7,7294
"LUIGI","Romagnoli","LAZ","D","Dc",1,7,7,460
"LUIGI","Marcandalli","GEN","D","Dc",1,6,6,6660
"LUIGI","Orsolini","BOL","C","W,A",60,26,25,2167
"LUIGI","Zaniolo","UDI","C","T,A",47,18,17,2766
"LUIGI","Gaetano","ATA","C","M,C",4,7,8,4364
"LUIGI","McKennie","JUV","C","C",29,17,17,4973
"LUIGI","Modric","MIL","C","M,C",10,12,13,2606
"LUIGI","Diouf","INT","C","E,C",5,8,9,6274
"LUIGI","Thorstvedt","SAS","C","C,T",2,10,10,5844
"LUIGI","Cacciamani","TOR","C","E,W",1,5,6,7060
"LUIGI","Thuram","INT","A","Pc",92,29,29,4871
"LUIGI","Davis K.","UDI","A","Pc",46,19,19,5637
"LUIGI","Raspadori","ATA","A","A",18,13,14,4371
"LUIGI","Esposito F.P.","INT","A","Pc",20,16,16,7071
"LUIGI","Dybala","ROM","A","A",15,14,15,309
"LUIGI","Yeboah J.","VEN","A","A",6,8,8,6904
"GIOVANNI","Martinez Jo.","INT","P","Por",46,17,17,5116
"VINCENZO","Okoye","UDI","P","Por",3,9,9,6462
"GIOVANNI","Padelli","UDI","P","Por",1,1,1,543
"GIOVANNI","Di Lorenzo","NAP","D","Dd,E",16,12,12,2816
"GIOVANNI","Akanji","INT","D","Dc",29,16,16,4159
"GIOVANNI","Celik","JUV","D","B,Dd,E",4,8,9,4657
"GIOVANNI","Valeri","PAR","D","Ds,E",11,8,8,5862
"VINCENZO","Koulierakis","ROM","D","Dc",10,8,8,7529
"GIOVANNI","Idzes","SAS","D","Dc",2,7,7,6672
"GIOVANNI","Kempf","COM","D","Dc",4,5,5,6893
"GIOVANNI","Bellanova","ATA","D","Dd,E",1,6,6,4887
"GIOVANNI","Calhanoglu","INT","C","M,C",87,27,28,2194
"GIOVANNI","Baturina","COM","C","T",51,19,18,7126
